test_name task_name gold_standard_file coverage model model_configuration metric score_value
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.001019806319585
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.014370634691058
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.001310767675407
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.002402408022947
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.002402408022947
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.9087018544935808
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index -0.008773586605129998
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.001035634603774
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.014370634691055
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.001316263492892
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.002411635696454
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.002411635696454
vectors_200_cosine_2_2 Clustering teams_cluster 0.08630527817403709 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.9087018544935808
vectors_200_cosine_2_3 Regression Cities 0.8632075471698113 LR - root_mean_squared_error 29.418266272411472
vectors_200_cosine_2_3 Regression Cities 0.8632075471698113 KNN K=3 root_mean_squared_error 11.41975650235522
vectors_200_cosine_2_3 Regression Cities 0.8632075471698113 M5 - root_mean_squared_error 24.57096963776781
vectors_200_cosine_2_3 Regression MetacriticMovies 0.0065 LR - root_mean_squared_error 7.32966225004713
vectors_200_cosine_2_3 Regression MetacriticMovies 0.0065 KNN K=3 root_mean_squared_error 5.856237462808196
vectors_200_cosine_2_3 Regression MetacriticMovies 0.0065 M5 - root_mean_squared_error 9.429461804524257
vectors_200_cosine_2_3 Regression AAUP 0.21041666666666667 LR - root_mean_squared_error 30035093226656.82
